id,img_name,pick_x,pick_y
1,T0001.jpg,801,324
2,T0002.jpg,538,313
3,T0003.jpg,751,437
4,T0004.jpg,948,334
5,T0005.jpg,879,768
6,T0006.jpg,328,443
7,T0007.jpg,785,340
8,T0008.jpg,800,356
9,T0009.jpg,789,874
10,T0010.jpg,428,558
11,T0011.jpg,389,612
12,T0012.jpg,360,789
13,T0013.jpg,1200,676
14,T0014.jpg,662,586
15,T0015.jpg,1013,564
16,T0016.jpg,657,490
17,T0017.jpg,562,776
18,T0018.jpg,619,985
19,T0019.jpg,928,438
20,T0020.jpg,1107,742
21,T0021.jpg,1019,488
22,T0022.jpg,630,1088
23,T0023.jpg,816,984
24,T0024.jpg,341,700
25,T0025.jpg,1029,985
26,T0026.jpg,569,408
27,T0027.jpg,622,740
28,T0028.jpg,644,1138
29,T0029.jpg,892,935
30,T0030.jpg,935,1086
31,T0031.jpg,664,955
32,T0032.jpg,748,785
33,T0033.jpg,240,885
34,T0034.jpg,796,750
35,T0035.jpg,893,615
36,T0036.jpg,798,845
37,T0037.jpg,624,1158
38,T0038.jpg,859,817
39,T0039.jpg,489,788
40,T0040.jpg,1019,883
41,T0041.jpg,414,843
42,T0042.jpg,573,1015
43,T0043.jpg,733,955
44,T0044.jpg,840,1158
45,T0045.jpg,704,838
46,T0046.jpg,906,632
47,T0047.jpg,155,692
48,T0048.jpg,889,483
49,T0049.jpg,530,727
50,T0050.jpg,78,605
51,T0051.jpg,60,193
52,T0052.jpg,801,558
53,T0053.jpg,229,952
54,T0054.jpg,338,1385
55,T0055.jpg,143,1199
56,T0056.jpg,790,1244
57,T0057.jpg,165,1404
58,T0058.jpg,244,352
59,T0059.jpg,960,238
60,T0060.jpg,954,658
61,T0061.jpg,945,207
62,T0062.jpg,193,1377
63,T0063.jpg,634,253
64,T0064.jpg,377,968
65,T0065.jpg,114,623
66,T0066.jpg,361,1125
67,T0067.jpg,0,0
68,T0068.jpg,820,868
69,T0069.jpg,614,1046
70,T0070.jpg,982,678
71,T0071.jpg,908,1253
72,T0072.jpg,0,0
73,T0073.jpg,0,0
74,T0074.jpg,0,0
75,T0075.jpg,0,0
76,T0076.jpg,0,0
77,T0077.jpg,0,0
78,T0078.jpg,0,0
79,T0079.jpg,973,246
80,T0080.jpg,1078,1089
81,T0081.jpg,1113,434
82,T0082.jpg,309,1186
83,T0083.jpg,295,754
84,T0084.jpg,0,0
85,T0085.jpg,631,266
86,T0086.jpg,615,446
87,T0087.jpg,1085,258
88,T0088.jpg,0,0
89,T0089.jpg,319,823
90,T0090.jpg,0,0
91,T0091.jpg,0,0
92,T0092.jpg,1109,532
93,T0093.jpg,825,858
94,T0094.jpg,259,847
95,T0095.jpg,261,1020
96,T0096.jpg,623,650
97,T0097.jpg,840,1023
98,T0098.jpg,147,464
99,T0099.jpg,1063,816
100,T0100.jpg,883,1016
101,V0101.jpg,1003,1007
102,V0102.jpg,607,971
103,V0103.jpg,968,1139
104,V0104.jpg,921,1186
105,V0105.jpg,401,971
106,V0106.jpg,706,897
107,V0107.jpg,409,848
108,V0108.jpg,770,1077
109,V0109.jpg,669,546
110,V0110.jpg,701,625
111,V0111.jpg,191,1178
112,V0112.jpg,868,884
113,V0113.jpg,829,799
114,V0114.jpg,432,674
115,V0115.jpg,500,723
116,V0116.jpg,1002,350
117,V0117.jpg,845,886
118,V0118.jpg,984,767
119,V0119.jpg,0,0
120,V0120.jpg,849,535
121,V0121.jpg,1031,968
122,V0122.jpg,518,769
123,V0123.jpg,496,901
124,V0124.jpg,290,1169
125,V0125.jpg,257,1237
